geoid,Data File Year,STATE,STATEA,COUNTY,County_Code,CensusTractCode,BlockGroupCode,Estimates: Area Name,Total_Population,White_pop,Black_pop, AmericanIndian_pop,Asian_pop,PacificIslander_pop,OtherRace_pop,EduTotal,Edu_8thGrade,Edu_HighSchoolOrGED,Edu_AssociateDegree,Edu_BachelorDegree,Edu_MasterDegree,Edu_ProfDegree,Edu_DoctorateDegree,Median_HH_Income,PerCapita_Income,Workers_Total,Worked_past_year,Worked_FT_past_year,Did_Not_Work
17003106504003,2006-2010,Illinois,17,Cook County,31,650400,3,"Block Group 3, Census Tract 6504, Cook County, Illinois",2030,338,83,0,0,0,1600,1034,39,429,16,10,0,0,0,32361,9590,1366,928,636,438
17003106504004,2006-2010,Illinois,17,Cook County,31,650400,4,"Block Group 4, Census Tract 6504, Cook County, Illinois",1388,277,48,44,0,0,1019,666,55,169,0,26,9,0,0,41667,10711,823,541,396,282
17003106504005,2006-2010,Illinois,17,Cook County,31,650400,5,"Block Group 5, Census Tract 6504, Cook County, Illinois",1259,284,14,0,0,0,961,636,79,134,15,30,6,0,0,49205,16093,838,629,455,209
17003106505001,2006-2010,Illinois,17,Cook County,31,650500,1,"Block Group 1, Census Tract 6505, Cook County, Illinois",1610,408,0,60,0,0,1142,865,114,270,19,72,9,0,0,66324,17171,1094,703,504,391
17003106505002,2006-2010,Illinois,17,Cook County,31,650500,2,"Block Group 2, Census Tract 6505, Cook County, Illinois",1475,688,11,0,17,0,728,841,68,312,19,120,10,0,0,41397,16273,871,553,461,318
17003106505003,2006-2010,Illinois,17,Cook County,31,650500,3,"Block Group 3, Census Tract 6505, Cook County, Illinois",1624,607,549,0,43,0,393,1144,43,284,76,216,106,8,18,41853,24744,979,740,639,239
17003106603011,2006-2010,Illinois,17,Cook County,31,660301,1,"Block Group 1, Census Tract 6603.01, Cook County, Illinois",1556,78,1148,0,0,0,330,793,0,392,90,0,0,0,0,30904,9534,913,574,401,339
17003106603021,2006-2010,Illinois,17,Cook County,31,660302,1,"Block Group 1, Census Tract 6603.02, Cook County, Illinois",1554,320,178,0,12,0,999,843,81,266,44,39,0,0,0,48821,11703,999,619,493,380
17003106603022,2006-2010,Illinois,17,Cook County,31,660302,2,"Block Group 2, Census Tract 6603.02, Cook County, Illinois",1279,191,203,0,0,0,885,881,48,332,15,33,0,0,0,40350,14278,921,581,481,340
17003106603023,2006-2010,Illinois,17,Cook County,31,660302,3,"Block Group 3, Census Tract 6603.02, Cook County, Illinois",1131,126,182,0,0,0,823,452,21,190,72,77,0,0,0,61161,12330,527,427,297,100
17003106603024,2006-2010,Illinois,17,Cook County,31,660302,4,"Block Group 4, Census Tract 6603.02, Cook County, Illinois",1473,213,555,29,46,0,566,747,52,198,37,101,35,0,0,35948,13197,943,591,420,352
17003106604001,2006-2010,Illinois,17,Cook County,31,660400,1,"Block Group 1, Census Tract 6604, Cook County, Illinois",1278,163,34,0,0,0,1070,655,34,332,13,0,0,0,0,32550,11458,787,523,398,264
17003106604002,2006-2010,Illinois,17,Cook County,31,660400,2,"Block Group 2, Census Tract 6604, Cook County, Illinois",1843,419,147,11,0,0,1266,1138,9,182,10,63,0,0,0,36377,12540,1325,861,804,464
17003106604003,2006-2010,Illinois,17,Cook County,31,660400,3,"Block Group 3, Census Tract 6604, Cook County, Illinois",775,441,10,0,0,0,314,423,36,73,20,26,3,0,0,43021,12372,421,324,251,97
17003106604004,2006-2010,Illinois,17,Cook County,31,660400,4,"Block Group 4, Census Tract 6604, Cook County, Illinois",1647,172,0,0,0,0,1475,722,143,292,0,25,10,0,0,36031,13522,994,665,494,329
17003106605001,2006-2010,Illinois,17,Cook County,31,660500,1,"Block Group 1, Census Tract 6605, Cook County, Illinois",929,335,280,0,0,0,314,548,26,188,13,20,0,0,0,29440,15124,514,348,265,166
17003106605002,2006-2010,Illinois,17,Cook County,31,660500,2,"Block Group 2, Census Tract 6605, Cook County, Illinois",1854,282,435,0,0,0,1105,973,19,396,35,0,16,0,0,44792,11851,1112,647,456,465
17003106605003,2006-2010,Illinois,17,Cook County,31,660500,3,"Block Group 3, Census Tract 6605, Cook County, Illinois",971,202,176,0,0,0,593,375,21,76,0,11,10,0,0,29938,12640,674,417,373,257
17003106605004,2006-2010,Illinois,17,Cook County,31,660500,4,"Block Group 4, Census Tract 6605, Cook County, Illinois",1087,416,76,0,0,0,595,597,58,158,8,56,6,0,0,48333,18811,582,441,260,141
17003106606001,2006-2010,Illinois,17,Cook County,31,660600,1,"Block Group 1, Census Tract 6606, Cook County, Illinois",826,41,584,0,0,0,201,498,0,329,0,0,0,0,0,29750,13723,481,300,300,181
17003106606002,2006-2010,Illinois,17,Cook County,31,660600,2,"Block Group 2, Census Tract 6606, Cook County, Illinois",895,0,817,0,46,0,32,361,0,43,62,57,0,0,0,34814,11116,418,171,171,247
17003106606003,2006-2010,Illinois,17,Cook County,31,660600,3,"Block Group 3, Census Tract 6606, Cook County, Illinois",890,85,540,0,0,0,219,443,0,160,27,0,0,0,0,44113,16683,574,400,335,174
17003106606004,2006-2010,Illinois,17,Cook County,31,660600,4,"Block Group 4, Census Tract 6606, Cook County, Illinois",1631,136,836,0,0,0,659,729,0,102,62,102,0,0,0,29521,17126,1147,746,642,401
17003106606005,2006-2010,Illinois,17,Cook County,31,660600,5,"Block Group 5, Census Tract 6606, Cook County, Illinois",1807,245,763,0,75,0,724,928,166,278,37,52,0,26,0,40952,13474,1357,890,687,467
17003106607001,2006-2010,Illinois,17,Cook County,31,660700,1,"Block Group 1, Census Tract 6607, Cook County, Illinois",911,9,893,0,9,0,0,600,33,266,8,23,0,0,0,60144,14960,634,416,329,218
17003106607002,2006-2010,Illinois,17,Cook County,31,660700,2,"Block Group 2, Census Tract 6607, Cook County, Illinois",1212,60,1152,0,0,0,0,712,0,293,36,11,0,0,0,32708,12270,748,411,360,337
17003106608001,2006-2010,Illinois,17,Cook County,31,660800,1,"Block Group 1, Census Tract 6608, Cook County, Illinois",1088,29,1059,0,0,0,0,562,63,222,40,0,0,13,0,31768,9836,802,395,203,407
17003106608002,2006-2010,Illinois,17,Cook County,31,660800,2,"Block Group 2, Census Tract 6608, Cook County, Illinois",1526,27,1499,0,0,0,0,775,13,236,26,108,0,0,0,36939,14245,923,633,423,290
17003106608003,2006-2010,Illinois,17,Cook County,31,660800,3,"Block Group 3, Census Tract 6608, Cook County, Illinois",1095,80,732,0,0,0,255,552,109,120,27,42,12,0,26,26058,11811,662,381,328,281
17003106608004,2006-2010,Illinois,17,Cook County,31,660800,4,"Block Group 4, Census Tract 6608, Cook County, Illinois",913,70,692,0,0,0,82,699,0,159,67,0,101,0,0,51827,17196,686,443,348,243
